transaction_id,seed,buyer_id,buyer_class,seller_id,seller_class,visit_order,price,budget_before,budget_after,seller_inventory_after
0,0,0,Poor,1,Slow,0,2.0,2.855568251059932,0.8555682510599318,129
1,0,1,Poor,0,Slow,2,1.4,2.8802708223662408,1.4802708223662409,129
2,0,2,Poor,0,Slow,4,1.4,3.135343130364019,1.735343130364019,128
3,0,3,Poor,0,Slow,3,1.4,3.2738648916286124,1.8738648916286125,127
4,0,4,Poor,2,Slow,1,2.0,3.2927620011803103,1.2927620011803103,129
5,0,5,Poor,2,Slow,1,2.0,2.9146614930741417,0.9146614930741417,128
6,0,6,Poor,0,Slow,2,1.4,2.876395471873083,1.476395471873083,126
7,0,7,Poor,1,Slow,3,2.0,2.8877816124740407,0.8877816124740407,128
8,0,8,Poor,0,Slow,0,1.4,2.825432787799515,1.4254327877995152,125
9,0,9,Poor,0,Slow,4,1.4,3.5291456301569264,2.1291456301569265,124
10,0,10,Poor,2,Slow,0,2.0,3.222214128502703,1.2222141285027028,127
11,0,11,Poor,2,Slow,2,2.0,3.1186264915375723,1.1186264915375723,126
12,0,13,Poor,1,Slow,1,2.0,3.4917974768877826,1.4917974768877826,127
13,0,14,Poor,1,Slow,2,2.0,2.670951459663922,0.6709514596639221,126
14,0,15,Poor,2,Slow,1,2.0,2.927196380668636,0.9271963806686361,125
15,0,17,Poor,1,Slow,0,2.0,3.150836988467887,1.150836988467887,125
16,0,19,Poor,0,Slow,1,1.4,2.9619399760432135,1.5619399760432136,123
17,0,21,Poor,0,Slow,4,1.4,3.317906580814676,1.9179065808146762,122
18,0,22,Poor,1,Slow,4,2.0,3.077269701963367,1.0772697019633668,124
19,0,23,Poor,1,Slow,1,2.0,2.524852761482646,0.5248527614826459,123
20,0,24,Poor,0,Slow,0,1.4,3.048700345606631,1.6487003456066311,121
21,0,27,Poor,1,Slow,4,2.0,2.99110150084376,0.9911015008437598,122
22,0,28,Poor,0,Slow,4,1.4,2.945725289242497,1.545725289242497,120
23,0,30,Poor,2,Slow,1,2.0,4.151558442737377,2.151558442737377,124
24,0,31,Poor,2,Slow,4,2.0,2.8259551293946994,0.8259551293946994,123
25,0,34,Poor,0,Slow,0,1.4,3.0202242280934373,1.6202242280934374,119
26,0,35,Poor,0,Slow,1,1.4,2.5476404157065833,1.1476404157065834,118
27,0,36,Poor,2,Slow,3,2.0,3.0313585691734044,1.0313585691734044,122
28,0,37,Poor,0,Slow,1,1.4,2.996700565652933,1.5967005656529332,117
29,0,38,Poor,1,Slow,3,2.0,3.2806195408253047,1.2806195408253047,121
30,0,39,Poor,1,Slow,1,2.0,2.9817828486905134,0.9817828486905134,120
31,0,41,Poor,1,Slow,4,2.0,3.1984371830202094,1.1984371830202094,119
32,0,42,Poor,2,Slow,0,2.0,2.980864513000685,0.980864513000685,121
33,0,44,Poor,0,Slow,2,1.4,2.7833476596555577,1.3833476596555578,116
34,0,45,Poor,0,Slow,2,1.4,2.6446016361212923,1.2446016361212924,115
35,0,49,Poor,2,Slow,1,2.0,2.9158116481038663,0.9158116481038663,120
36,0,50,Poor,2,Slow,2,2.0,2.8770059373262846,0.8770059373262846,119
37,0,52,Poor,1,Slow,2,2.0,2.686826348486744,0.6868263484867438,118
38,0,54,Poor,0,Slow,0,1.4,3.4771189039498656,2.0771189039498656,114
39,0,54,Poor,2,Slow,1,2.0,2.0771189039498656,0.07711890394986565,118
40,0,55,Poor,0,Slow,4,1.4,3.087056009279757,1.687056009279757,113
41,0,57,Poor,2,Slow,0,2.0,3.2894532647191523,1.2894532647191523,117
42,0,59,Poor,0,Slow,0,1.4,3.135011780463794,1.7350117804637941,112
43,0,60,Poor,1,Slow,0,2.0,3.7790769233708823,1.7790769233708823,117
44,0,62,Poor,0,Slow,4,1.4,3.695628869684469,2.295628869684469,111
45,0,64,Poor,1,Slow,1,2.0,3.3626652189762822,1.3626652189762822,116
46,0,66,Poor,1,Slow,0,2.0,2.9247780159935703,0.9247780159935703,115
47,0,70,Middle,3,Shigh,2,6.0,7.09889698464928,1.0988969846492802,69
48,0,71,Middle,1,Slow,0,2.0,6.272125540401833,4.272125540401833,114
49,0,71,Middle,2,Slow,1,2.0,4.272125540401833,2.2721255404018326,116
50,0,71,Middle,0,Slow,3,1.4,2.2721255404018326,0.8721255404018327,110
51,0,72,Middle,1,Slow,0,2.0,6.621606429908594,4.621606429908594,113
52,0,72,Middle,0,Slow,2,1.4,4.621606429908594,3.221606429908594,109
53,0,73,Middle,2,Slow,1,2.0,6.650177955568674,4.650177955568674,115
54,0,73,Middle,1,Slow,3,2.0,4.650177955568674,2.650177955568674,112
55,0,75,Middle,1,Slow,0,2.0,6.871619380157637,4.871619380157637,111
56,0,75,Middle,2,Slow,2,2.0,4.871619380157637,2.871619380157637,114
57,0,75,Middle,0,Slow,3,1.4,2.871619380157637,1.471619380157637,108
58,0,76,Middle,2,Slow,4,2.0,6.484098500636306,4.484098500636306,113
59,0,78,Middle,1,Slow,2,2.0,8.165532339586948,6.165532339586948,110
60,0,79,Middle,1,Slow,2,2.0,6.835921054243659,4.835921054243659,109
61,0,80,Middle,2,Slow,2,2.0,6.137038920722078,4.137038920722078,112
62,0,80,Middle,1,Slow,4,2.0,4.137038920722078,2.1370389207220777,108
63,0,81,Middle,4,Shigh,4,6.0,7.00142047553926,1.00142047553926,69
64,0,82,Middle,2,Slow,0,2.0,7.800858049505999,5.800858049505999,111
65,0,82,Middle,1,Slow,1,2.0,5.800858049505999,3.800858049505999,107
66,0,83,Middle,1,Slow,1,2.0,6.717477494387878,4.717477494387878,106
67,0,83,Middle,2,Slow,4,2.0,4.717477494387878,2.717477494387878,110
68,0,84,Middle,0,Slow,3,1.4,6.466858950972013,5.066858950972014,107
69,0,86,Middle,1,Slow,1,2.0,5.296802880040796,3.2968028800407962,105
70,0,87,Middle,1,Slow,3,2.0,6.219665955678909,4.219665955678909,104
71,0,88,Middle,2,Slow,2,2.0,8.616710407022133,6.616710407022133,109
72,0,88,Middle,3,Shigh,3,6.0,6.616710407022133,0.6167104070221328,68
73,0,89,Middle,1,Slow,4,2.0,5.670419205031264,3.670419205031264,103
74,0,90,Rich,2,Slow,1,2.0,11.478018789976838,9.478018789976838,108
75,0,90,Rich,1,Slow,3,2.0,9.478018789976838,7.478018789976838,102
76,0,90,Rich,3,Shigh,4,6.0,7.478018789976838,1.4780187899768382,67
77,0,91,Rich,1,Slow,0,2.0,9.59219892268401,7.592198922684011,101
78,0,91,Rich,3,Shigh,1,6.0,7.592198922684011,1.5921989226840108,66
79,0,92,Rich,2,Slow,0,2.0,11.215204052589513,9.215204052589513,107
80,0,92,Rich,1,Slow,1,2.0,9.215204052589513,7.215204052589513,100
81,0,92,Rich,0,Slow,2,1.4,7.215204052589513,5.815204052589513,106
82,0,93,Rich,0,Slow,1,1.4,10.503521023957262,9.103521023957262,105
83,0,93,Rich,3,Shigh,3,6.0,9.103521023957262,3.1035210239572617,65
84,0,95,Rich,3,Shigh,0,6.0,10.217960081805087,4.217960081805087,64
85,0,95,Rich,1,Slow,1,2.0,4.217960081805087,2.217960081805087,99
86,0,95,Rich,0,Slow,4,1.4,2.217960081805087,0.817960081805087,104
87,0,96,Rich,0,Slow,1,1.4,10.413496424219566,9.013496424219566,103
88,0,96,Rich,4,Shigh,2,6.0,9.013496424219566,3.013496424219566,68
89,0,96,Rich,1,Slow,4,2.0,3.013496424219566,1.013496424219566,98
90,0,97,Rich,4,Shigh,0,6.0,11.342268822010302,5.342268822010302,67
91,0,98,Rich,2,Slow,1,2.0,7.565653259603267,5.565653259603267,106
92,0,99,Rich,4,Shigh,1,6.0,10.313491968365483,4.313491968365483,66
93,0,99,Rich,2,Slow,4,2.0,4.313491968365483,2.313491968365483,105
94,1,1,Poor,0,Slow,3,2.0,3.224972865345306,1.2249728653453058,129
95,1,3,Poor,1,Slow,1,2.0,3.3980738746208305,1.3980738746208305,129
96,1,5,Poor,0,Slow,0,2.0,3.1266101475386225,1.1266101475386225,128
97,1,7,Poor,0,Slow,1,2.0,3.435678070511856,1.4356780705118561,127
98,1,8,Poor,1,Slow,1,2.0,2.5212313033319864,0.5212313033319864,128
99,1,9,Poor,2,Slow,0,2.0,2.962852803758378,0.9628528037583779,129
100,1,10,Poor,0,Slow,1,2.0,3.1734427599493062,1.1734427599493062,126
101,1,11,Poor,2,Slow,3,2.0,2.9491442260196408,0.9491442260196408,128
102,1,12,Poor,1,Slow,0,2.0,3.0014926259052417,1.0014926259052417,127
103,1,13,Poor,1,Slow,0,2.0,2.5647533121319306,0.5647533121319306,126
104,1,14,Poor,0,Slow,0,2.0,3.1912998659996226,1.1912998659996226,125
105,1,15,Poor,1,Slow,4,2.0,2.6902463398499776,0.6902463398499776,125
106,1,16,Poor,0,Slow,1,2.0,2.8581672382274794,0.8581672382274794,124
107,1,17,Poor,1,Slow,3,2.0,3.2121199763173425,1.2121199763173425,124
108,1,19,Poor,2,Slow,1,2.0,3.3220837833498678,1.3220837833498678,127
109,1,20,Poor,1,Slow,1,2.0,2.7889869517065873,0.7889869517065873,123
110,1,21,Poor,0,Slow,4,2.0,2.656280356498553,0.6562803564985531,123
111,1,23,Poor,1,Slow,2,2.0,2.6276635859042554,0.6276635859042554,122
112,1,24,Poor,1,Slow,2,2.0,3.228517209163914,1.2285172091639138,121
113,1,26,Poor,1,Slow,0,2.0,3.0370050909044575,1.0370050909044575,120
114,1,27,Poor,2,Slow,2,2.0,3.1656114432768607,1.1656114432768607,126
115,1,28,Poor,1,Slow,2,2.0,2.746622822564922,0.7466228225649219,119
116,1,29,Poor,0,Slow,0,2.0,2.704696845808769,0.704696845808769,122
117,1,31,Poor,2,Slow,3,2.0,2.803596013122837,0.8035960131228368,125
118,1,32,Poor,0,Slow,1,2.0,3.1669496545918276,1.1669496545918276,121
119,1,33,Poor,1,Slow,2,2.0,3.213436954388167,1.213436954388167,118
120,1,34,Poor,1,Slow,1,2.0,2.6180427064696126,0.6180427064696126,117
121,1,35,Poor,0,Slow,1,2.0,2.9167877436568137,0.9167877436568137,120
122,1,36,Poor,0,Slow,0,2.0,3.2320891087258294,1.2320891087258294,119
123,1,37,Poor,1,Slow,1,2.0,3.352341162387028,1.3523411623870278,116
124,1,39,Poor,1,Slow,3,2.0,3.1373556816202717,1.1373556816202717,115
125,1,40,Poor,0,Slow,0,2.0,2.7461242976494966,0.7461242976494966,118
126,1,41,Poor,0,Slow,3,2.0,2.3871559559416946,0.3871559559416946,117
127,1,45,Poor,1,Slow,0,2.0,3.7407012882826853,1.7407012882826853,114
128,1,46,Poor,0,Slow,0,2.0,2.5903012755866097,0.5903012755866097,116
129,1,47,Poor,1,Slow,1,2.0,2.720547824632264,0.7205478246322641,113
130,1,48,Poor,1,Slow,0,2.0,2.6930715008487613,0.6930715008487613,112
131,1,50,Poor,0,Slow,0,2.0,2.768264629308873,0.7682646293088728,115
132,1,51,Poor,0,Slow,1,2.0,2.8979471772198875,0.8979471772198875,114
133,1,55,Poor,1,Slow,4,2.0,2.6207381142824255,0.6207381142824255,111
134,1,57,Poor,1,Slow,0,2.0,3.0082655390932196,1.0082655390932196,110
